BOROUGH,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,COLLISION_ID
BROOKLYN,2,0,4269019
MANHATTAN,0,0,4271217
QUEENS,2,0,4268476
BROOKLYN,0,0,4268886
QUEENS,0,0,4268728
BROOKLYN,0,0,4269172
BRONX,0,0,4268836
MANHATTAN,0,0,4268506
QUEENS,0,0,4268224
BRONX,1,0,4268868
MANHATTAN,1,0,4268433
BRONX,0,0,4269357
BROOKLYN,1,0,4273882
BROOKLYN,0,0,4269197
BROOKLYN,1,0,4269426
BROOKLYN,1,0,4270632
BROOKLYN,1,0,4268688
BROOKLYN,0,0,4285812
QUEENS,0,0,4268646
QUEENS,0,0,4268652
QUEENS,0,0,4269100
BRONX,0,0,4269085
QUEENS,0,0,4271783
QUEENS,1,0,4268593
BROOKLYN,0,0,4269267
BROOKLYN,0,0,4268954
MANHATTAN,0,0,4269349
BROOKLYN,0,0,4270766
BRONX,1,0,4268976
BROOKLYN,0,0,4269547
BROOKLYN,0,0,4268723
BROOKLYN,0,0,4268685
QUEENS,1,0,4268748
STATEN ISLAND,0,0,4269780
BRONX,0,0,4269082
QUEENS,0,0,4268710
BROOKLYN,0,0,4269226
QUEENS,0,0,4268816
BROOKLYN,0,0,4382878
QUEENS,1,0,4268596
MANHATTAN,0,0,4268903
BROOKLYN,0,0,4269427
STATEN ISLAND,0,0,4271208
BRONX,0,0,4268661
MANHATTAN,0,0,4268679
MANHATTAN,0,0,4268712
QUEENS,1,0,4269539
STATEN ISLAND,1,0,4268719
QUEENS,0,0,4269061
MANHATTAN,1,0,4269062
BRONX,0,0,4268935
BROOKLYN,0,0,4269487
BROOKLYN,0,0,4269428
MANHATTAN,1,0,4269475
BROOKLYN,0,0,4268693
BROOKLYN,0,0,4269720
QUEENS,0,0,4268711
BROOKLYN,0,0,4269565
QUEENS,1,0,4269055
BROOKLYN,0,0,4269251
BROOKLYN,1,0,4269245
BROOKLYN,2,0,4268891
MANHATTAN,0,0,4268592
QUEENS,0,0,4268632
BROOKLYN,0,0,4269157
QUEENS,1,0,4268856
BRONX,0,0,4268800
MANHATTAN,0,0,4268767
QUEENS,0,0,4269057
MANHATTAN,0,0,4269905
QUEENS,0,0,4269039
MANHATTAN,1,0,4269045
BROOKLYN,1,0,4269321
BROOKLYN,0,0,4276221
QUEENS,0,0,4270288
QUEENS,0,0,4269604
BROOKLYN,0,0,4269545
MANHATTAN,0,0,4268733
BROOKLYN,2,0,4269557
QUEENS,0,0,4269683
QUEENS,0,0,4269086
MANHATTAN,0,0,4268763
QUEENS,0,0,4269063
STATEN ISLAND,0,0,4272964
QUEENS,0,0,4268651
QUEENS,1,0,4268853
BRONX,1,0,4268943
QUEENS,1,0,4268620
BRONX,0,0,4268754
MANHATTAN,0,0,4272944
BROOKLYN,0,0,4268995
QUEENS,0,0,4268813
STATEN ISLAND,0,0,4269353
BROOKLYN,0,0,4271634
BROOKLYN,0,0,4268583
QUEENS,0,0,4270268
MANHATTAN,0,0,4269284
BRONX,0,0,4268834
BRONX,0,0,4269359
QUEENS,1,0,4271134
QUEENS,1,0,4269102
BRONX,0,0,4269868
BROOKLYN,0,0,4268902
BROOKLYN,0,0,4269897
BRONX,0,0,4381570
BRONX,0,0,4272227
QUEENS,1,0,4268847
BROOKLYN,1,0,4269318
BROOKLYN,0,0,4268895
BROOKLYN,0,0,4269566
QUEENS,0,0,4268617
BROOKLYN,0,0,4269316
MANHATTAN,1,0,4268905
QUEENS,3,0,4268650
BROOKLYN,0,0,4269248
BRONX,0,0,4268833
BROOKLYN,0,0,4269158
BROOKLYN,1,0,4268999
BRONX,0,0,4268753
QUEENS,2,0,4268664
BROOKLYN,0,0,4270148
BROOKLYN,2,0,4269722
QUEENS,0,0,4268743
BRONX,0,0,4268737
